,TRUE,,1,2,3,4,5,6,7,8,9,10,
1,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,0.531395,,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,
3,0.562667,,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,
4,0.593691,,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,
5,0.624345,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,
6,0.654508,,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,
7,0.684062,,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,
8,0.71289,,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,
9,0.740877,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
10,0.767913,,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,
11,0.793893,,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,
12,0.818712,,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,
13,0.842274,,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,
14,0.864484,,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,
15,0.885257,,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,
16,0.904508,,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,
17,0.922164,,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,
18,0.938153,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,
19,0.952414,,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,
20,0.964888,,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,
21,0.975528,,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,
22,0.984292,,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,
23,0.991144,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
24,0.996057,,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,
25,0.999013,,1,1,1,1,1,1,1,1,1,1,
26,1,,1,1,1,1,1,1,1,1,1,1,
27,0.999013,,1,1,1,1,1,1,1,1,1,1,
28,0.996057,,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,
29,0.991144,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
30,0.984292,,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,
31,0.975528,,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,
32,0.964888,,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,
33,0.952414,,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,0.9525,
34,0.938153,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,
35,0.922164,,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,0.9225,
36,0.904508,,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,
37,0.885257,,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,
38,0.864484,,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,0.865,
39,0.842274,,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,0.8425,
40,0.818712,,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,0.8175,
41,0.793893,,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,
42,0.767913,,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,
43,0.740877,,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,
44,0.71289,,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,0.7125,
45,0.684062,,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,0.685,
46,0.654508,,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,
47,0.624345,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,
48,0.593691,,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,0.5925,
49,0.562667,,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,
50,0.531395,,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,0.5325,
51,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
52,0.468605,,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,0.4675,
53,0.437333,,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,
54,0.406309,,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,0.4075,
55,0.375655,,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,
56,0.345492,,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,
57,0.315938,,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,
58,0.28711,,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,
59,0.259123,,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,
60,0.232087,,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,0.2325,
61,0.206107,,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,
62,0.181288,,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,0.1825,
63,0.157726,,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,0.1575,
